epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6225,1.15839,3.49305,1.09677,0.00994,1,0.339,0.3271,0.69445,3.14522,0.81455,0.00025722,0.00025722,0.00025722
2,13.9119,0.7206,1.60726,0.89565,0.9961,0.33333,0.37807,0.34339,0.70856,2.64388,0.81554,0.000476386,0.000476386,0.000476386
3,17.2402,0.77818,1.39023,0.92286,0.99623,0.33333,0.91756,0.75382,0.78401,2.32633,0.82531,0.000641792,0.000641792,0.000641792
4,20.2248,0.72764,1.10557,0.92462,0.89271,0.4611,0.97135,0.82572,0.63483,1.69763,0.79742,0.00075344,0.00075344,0.00075344
5,23.325,0.66685,1.04628,0.87978,0.92227,0.77858,0.98704,0.80427,0.698,1.25628,0.79771,0.000811329,0.000811329,0.000811329
6,26.1711,0.65269,0.96994,0.86038,0.98968,0.95959,0.99415,0.86317,0.5752,0.77265,0.78329,0.000721645,0.000721645,0.000721645
7,29.1745,0.62975,0.92928,0.85581,0.9863,0.98256,0.99481,0.84462,0.57112,0.69476,0.78226,0.000580174,0.000580174,0.000580174
8,32.2462,0.60322,0.85094,0.87727,0.97363,0.99048,0.99407,0.85946,0.58853,0.6706,0.78997,0.000438703,0.000438703,0.000438703
9,35.0243,0.58612,0.81618,0.88678,0.98799,0.98086,0.99464,0.88051,0.55723,0.57558,0.78352,0.000297232,0.000297232,0.000297232
10,38.0278,0.54516,0.78161,0.85971,0.98143,0.99048,0.99481,0.88812,0.51992,0.50694,0.77688,0.000155761,0.000155761,0.000155761
